Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
6834,-16,512,-864,-18022,-28187,24456,123,
6876,-112,592,-784,-16922,-28987,23956,119,
6912,-64,688,-784,-16922,-28987,23956,109,
6948,48,608,-688,-17422,-31187,21256,118,
6984,-80,688,-832,-17422,-31187,21256,122,
7020,-80,736,-736,-17422,-31187,21256,111,
7056,-48,688,-640,-16522,-34087,17856,121,
7092,-16,784,-560,-16522,-34087,17856,107,
7128,16,816,-624,-15222,-36987,13856,127,
7164,16,736,-656,-15222,-36987,13856,133,
7200,16,752,-640,-15222,-36987,13856,131,
7236,-16,752,-576,-12222,-39487,8456,144,
7272,-16,752,-592,-12222,-39487,8456,145,
7308,64,608,-752,-13222,-38787,10456,150,
7350,48,720,-752,-13222,-38787,10456,147,
7386,80,704,-816,-13222,-38787,10456,148,
7422,16,560,-784,-10822,-37087,15856,152,
7458,16,560,-784,-10822,-37087,15856,152,
7494,32,480,-848,-9122,-35187,20756,154,
7530,32,464,-848,-9122,-35187,20756,154,
7566,16,416,-992,-9122,-35187,20756,158,
7602,0,512,-1024,-10922,-31587,24356,147,
7638,-16,336,-1056,-10922,-31587,24356,155,
7674,0,256,-1024,-10922,-31587,24356,156,
7710,-96,368,-1040,-12422,-28187,26956,150,
7746,-160,288,-896,-12422,-28187,26956,157,
7782,-240,176,-896,-12522,-25987,29056,166,
7818,-32,320,-1024,-12522,-25987,29056,144,
7854,-16,176,-1056,-12522,-25987,29056,149,face up
7890,-112,48,-928,-12222,-24887,29756,159,face up
7926,96,288,-1024,-12222,-24887,29756,137,face up
7962,-32,96,-992,-10522,-24187,30356,155,face up
7998,80,96,-992,-10522,-24187,30356,148,face up
8034,0,48,-1136,-10522,-24187,30356,155,face up
8070,-32,-16,-1008,-9422,-21287,31456,158,face up
8112,16,0,-960,-9422,-21287,31456,154,face up
8148,32,-32,-992,-9122,-18587,33956,152,face up
8184,160,0,-848,-9122,-18587,33956,140,face up
8220,16,-32,-1008,-9122,-18587,33956,153,face up
8256,0,-112,-992,-9922,-16487,33256,153,face up
8292,0,-64,-992,-9922,-16487,33256,151,face up
8328,16,-64,-992,-9922,-16487,33256,150,face up
8364,0,-48,-992,-10122,-16587,33056,150,face up
8400,0,-64,-1008,-10122,-16587,33056,151,face up
8436,16,-64,-992,-9722,-16987,34056,151,face up
8472,16,-64,-992,-9722,-16987,34056,151,face up
8508,16,-48,-1008,-9722,-16987,34056,151,face up
