Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
20964,0,-64,-992,6178,-15987,34656,198,face up
21000,0,-64,-1008,6178,-15987,34656,198,face up
21036,0,-48,-1008,6578,-16187,34156,200,face up
21072,0,-64,-1008,6578,-16187,34156,199,face up
21108,0,-64,-992,6578,-16187,34156,199,face up
21144,0,-64,-1008,6778,-16687,34556,199,face up
21180,-16,-48,-1008,6778,-16687,34556,201,face up
21222,-16,-48,-992,6778,-16687,34456,201,face up
21258,-16,-48,-992,6778,-16687,34456,201,face up
21294,-16,-64,-992,6778,-16687,34456,201,face up
21330,-32,-80,-976,6478,-16987,34756,201,face up
21366,-16,-64,-976,6478,-16987,34756,200,face up
21402,0,-48,-976,5778,-16787,34456,197,face up
21438,-32,-64,-992,5778,-16787,34456,199,face up
21474,-48,-64,-1008,5778,-16787,34456,201,face up
21510,0,-48,-1008,6278,-16287,33656,199,face up
21546,-32,-48,-1024,6278,-16287,33656,202,face up
21582,-48,-48,-1024,6178,-16987,34356,202,face up
21618,0,-32,-992,6178,-16987,34356,198,face up
21654,32,-16,-976,6178,-16987,34356,196,face up
21690,0,-32,-1008,5778,-16787,34356,197,face up
21726,-16,-48,-992,5778,-16787,34356,198,face up
21762,0,-48,-992,5378,-16887,33856,196,face up
21798,-32,-48,-992,5378,-16887,33856,199,face up
21834,-16,-48,-976,5378,-16887,33856,197,face up
21870,-16,-32,-960,6178,-16687,33356,200,face up
21906,-32,-48,-944,6178,-16687,33356,201,face up
21948,-48,-32,-992,5978,-17187,34256,202,face up
21984,-16,-32,-1024,5978,-17187,34256,199,face up
22020,0,-16,-976,5978,-17187,34256,198,face up
22056,32,-48,-1072,5678,-16887,33756,194,face up
22092,-64,-32,-1040,5678,-16887,33756,203,face up
22128,-48,-32,-976,5678,-16887,33756,202,face up
22164,32,-64,-976,5978,-17087,33656,194,face up
22200,-64,-16,-1040,5978,-17087,33656,204,face up
22236,0,-32,-992,6478,-17187,33756,199,face up
22272,0,-32,-992,6478,-17187,33756,199,face up
22308,-32,-16,-1008,6478,-17187,33756,203,face up
22344,-16,0,-1008,5978,-17387,32856,200,face up
22380,0,-32,-1008,5978,-17387,32856,197,face up
22416,-16,-16,-1008,6378,-17687,33056,200,face up
22452,-16,-32,-976,6378,-17687,33056,200,face up
22488,-32,-32,-992,6378,-17687,33056,201,face up
22524,-16,-32,-1024,6378,-17887,33856,200,face up
22560,-48,-32,-1024,6378,-17887,33856,202,face up
22596,-32,-32,-992,6378,-17887,33856,201,face up
22632,16,-48,-1008,6078,-17887,34556,195,face up
22674,0,-32,-1008,6078,-17887,34556,197,face up
22710,-32,-48,-992,5978,-17187,33856,200,face up
22746,-16,-48,-1008,5978,-17187,33856,199,face up
