Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
12966,128,784,-656,-20936,-52545,25220,125,
13002,112,784,-656,-21336,-53045,23820,127,
13038,112,800,-640,-21336,-53045,23820,125,
13074,128,784,-656,-21436,-53345,23120,128,
13110,112,784,-656,-21436,-53345,23120,128,
13146,112,784,-656,-21436,-53345,23120,128,
13182,112,784,-656,-21436,-52945,23620,127,
13224,112,784,-656,-21436,-52945,23620,127,
13260,112,800,-656,-21436,-52945,23620,126,
13296,112,784,-656,-21336,-52845,22920,128,
13332,112,784,-656,-21336,-52845,22920,128,
13368,128,800,-640,-21636,-52145,23920,124,
13440,128,784,-656,-21636,-52145,23920,126,
13476,128,784,-656,-21236,-52945,23620,127,
13548,112,800,-656,-21236,-52945,23620,126,
13584,112,800,-656,-21236,-52845,22920,127,
13620,112,800,-656,-21236,-52845,22920,127,
13656,112,800,-656,-21436,-52545,23020,127,
13692,112,800,-656,-21436,-52545,23020,127,
13728,112,800,-656,-21436,-52545,23020,127,
13764,112,800,-656,-21136,-52745,23420,127,
13800,112,800,-640,-21136,-52745,23420,126,
13836,128,800,-640,-21136,-52745,23420,126,
13872,112,800,-656,-21236,-53445,24620,126,
13908,128,800,-656,-21236,-53445,24620,126,
13944,112,800,-656,-21636,-53245,22320,128,
13986,112,800,-656,-21636,-53245,22320,128,
14058,112,800,-656,-20936,-52845,23320,127,
14094,112,784,-640,-20936,-52845,23320,127,
14130,128,784,-656,-20936,-52845,23320,128,
14166,128,784,-656,-21236,-53245,23420,128,
14202,112,800,-656,-21236,-53245,23420,127,
14238,112,800,-656,-21436,-52945,23420,126,
14280,112,800,-656,-21436,-52945,23420,126,
14316,112,800,-656,-21436,-52945,23420,126,
14352,128,784,-640,-21536,-53145,22720,128,
14388,128,784,-656,-21536,-53145,22720,129,
14424,112,784,-656,-21536,-53145,22720,128,
14460,128,784,-656,-21836,-52245,24520,125,
14496,112,800,-640,-21836,-52245,24520,123,
14568,112,800,-656,-21736,-52645,23320,126,
14604,112,800,-656,-21736,-52645,23320,126,
14640,112,800,-656,-21336,-52945,22620,128,
14676,112,800,-656,-21336,-52945,22620,128,
14712,128,784,-656,-21336,-52945,22620,129,
14748,112,800,-656,-21636,-52745,24520,125,
14790,112,784,-640,-21636,-52745,24520,125,
14826,128,784,-656,-21036,-52845,23720,127,
14862,128,784,-640,-21036,-52845,23720,127,
14898,112,784,-640,-21036,-52845,23720,126,
14934,112,800,-656,-21536,-53045,23320,127,
14970,128,784,-656,-21536,-53045,23320,128,
15006,128,800,-656,-21736,-52745,24020,126,
15048,112,800,-640,-21736,-52745,24020,124,
15084,128,800,-656,-21736,-52745,24020,126,
15120,112,784,-656,-21736,-53045,24320,126,
15156,112,784,-640,-21736,-53045,24320,125,
15192,112,784,-640,-21736,-53045,24320,125,
15228,128,784,-656,-21336,-53045,24120,127,
15264,112,800,-656,-21336,-53045,24120,126,
15300,128,784,-640,-21636,-53245,22620,128,
15336,112,800,-640,-21636,-53245,22620,127,
15372,128,784,-656,-21636,-53245,22620,129,
15408,112,800,-656,-21236,-52945,22620,128,
15444,112,784,-640,-21236,-52945,22620,128,
15480,128,784,-656,-21236,-52945,22620,129,
15516,112,800,-656,-21136,-53145,22920,128,
15594,128,800,-640,-21236,-53345,24320,125,
